id,mode,bar_count,bar_width,bar_angle,curve_amount,bg_color1,bg_color2,bg_style,glass_color1,glass_color2,glass_opacity,glass_highlight,speed,light_color1,light_color2,light_size,light_speed,fiber_count,fiber_spread,fiber_length,fiber_glow,fiber_color1,fiber_color2,wave_intensity,wave_color1,wave_color2,wave_color3,vignette,duration,fps,width,height,title,keywords
diag_cosmic_violet_teal_01,diagonal,21,0.85,-50,0.0,#1c0d3a,#f97316,radial,#06b6d4,#2563eb,0.12,0.39,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Cinematic Cosmic Violet Teal Glass Panels Motion Background (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,cyan,blue,purple,orange,refraction,nebula,abstract,loop,space,glassmorphism,diagonal,4K UHD,slats"
curv_emerald_dream_green_02,curved,28,0.9,35,0.9,#022c22,#fbbf24,radial,#10b981,#84cc16,0.12,0.43,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Modernist Emerald Dream Green Fluted Glass Wall Abstract Graphics (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,green,lime,emerald,gold,forest,nature,abstract,gradient,loop,glassmorphism,curved,4K UHD,slats"
glas_sunset_fire_flare_03,glass_wave,35,0.95,0,0.0,#450a0a,#facc15,radial,#f97316,#db2777,0.12,0.47,1,,,,,,,,,,,1.01,#f97316,#db2777,#facc15,0.5,10.0,30,3840,2160,Vibrant Sunset Fire Flare Glass Slats Prism Wave Seamless (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,red,orange,pink,yellow,sunset,fire,warm,flare,glowing,abstract,glassmorphism,glass_wave,4K UHD,slats"
diag_cyberpunk_neon_pink_04,diagonal,42,1.0,-25,0.0,#0f172a,#ec4899,radial,#db2777,#a855f7,0.12,0.51,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Premium Cyberpunk Neon Pink Glassmorphic Geometric Flow Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,pink,magenta,purple,dark,violet,neon,retro,cyberpunk,futuristic,glassmorphism,diagonal,4K UHD,slats"
curv_luxury_obsidian_gold_05,curved,18,1.05,50,1.35,#171717,#b45309,radial,#f59e0b,#fbbf24,0.12,0.55,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Abstract Luxury Obsidian Gold Reeded Glass Refraction Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,gold,luxury,premium,yellow,amber,black,dark,elegant,exclusive,glassmorphism,curved,4K UHD,slats"
glas_ice_lagoon_blue_06,glass_wave,25,1.1,0,0.0,#0c4a6e,#22d3ee,radial,#34d399,#4f46e5,0.12,0.59,1,,,,,,,,,,,1.22,#34d399,#4f46e5,#22d3ee,0.5,10.0,30,3840,2160,Cinematic Ice Lagoon Blue Glass Panels Motion Background (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,cyan,blue,mint,green,teal,glacier,winter,lagoon,abstract,motion,glassmorphism,glass_wave,4K UHD,slats"
diag_aurora_cosmic_green_07,diagonal,32,1.15,25,0.0,#3b0764,#a3e635,radial,#06b6d4,#c084fc,0.12,0.63,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Modernist Aurora Cosmic Green Fluted Glass Wall Abstract Graphics (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,aurora,northern lights,green,purple,cyan,magical,neon,mystic,glow,glassmorphism,diagonal,4K UHD,slats"
curv_crimson_sapphire_blue_red_08,curved,39,1.2,34,0.6,#030712,#dc2626,radial,#f87171,#0ea5e9,0.12,0.67,3,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Vibrant Crimson Sapphire Blue Red Glass Slats Prism Wave Seamless (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,red,blue,navy,ruby,sapphire,contrast,bold,modern,graphics,glassmorphism,curved,4K UHD,slats"
glas_obsidian_orange_glow_09,glass_wave,15,1.25,0,0.0,#09090b,#ea580c,radial,#f59e0b,#ffedd5,0.12,0.71,1,,,,,,,,,,,1.43,#f59e0b,#ffedd5,#ea580c,0.5,10.0,30,3840,2160,Premium Obsidian Orange Glow Glassmorphic Geometric Flow Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,orange,amber,black,peach,glow,minimal,clean,contrast,sleek,glassmorphism,glass_wave,4K UHD,slats"
diag_deep_amethyst_orchid_10,diagonal,22,1.3,50,0.0,#080710,#d946ef,radial,#7c3aed,#c084fc,0.12,0.35,2,,,,,,,,,,,,,,,0.5,10.0,30,3840,2160,Abstract Deep Amethyst Orchid Reeded Glass Refraction Loop (4K UHD),"glass,reeded,fluted,refraction,prism,backdrop,motion,background,loop,seamless,purple,orchid,magenta,dark,lilac,glow,luxury,elegant,abstract,loop,glassmorphism,diagonal,4K UHD,slats"
